,timestamp,pilot,target,shiptype,module_or_ammo,dmg,hit_quality
1450,2023-02-23 16:37:37,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,25,Hits
1453,2023-02-23 16:37:41,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,19,Glances Off
1454,2023-02-23 16:37:41,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,18,Glances Off
1455,2023-02-23 16:37:41,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,23,Hits
1456,2023-02-23 16:37:41,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,19,Hits
1457,2023-02-23 16:37:41,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,29,Penetrates
1460,2023-02-23 16:37:45,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,19,Glances Off
1461,2023-02-23 16:37:45,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,29,Penetrates
1462,2023-02-23 16:37:45,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,16,Grazes
1463,2023-02-23 16:37:45,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,20,Hits
1464,2023-02-23 16:37:45,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,16,Glances Off
1465,2023-02-23 16:37:49,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,32,Penetrates
1466,2023-02-23 16:37:49,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,25,Hits
1467,2023-02-23 16:37:49,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,23,Hits
1468,2023-02-23 16:37:49,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,20,Hits
1469,2023-02-23 16:37:49,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,24,Hits
1472,2023-02-23 16:37:53,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,26,Hits
1473,2023-02-23 16:37:53,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,30,Penetrates
1474,2023-02-23 16:37:53,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,14,Grazes
1475,2023-02-23 16:37:53,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,36,Smashes
1476,2023-02-23 16:37:53,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,17,Glances Off
1479,2023-02-23 16:37:57,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,30,Penetrates
1480,2023-02-23 16:37:57,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,23,Hits
1481,2023-02-23 16:37:57,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,34,Smashes
1482,2023-02-23 16:37:57,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,34,Smashes
1483,2023-02-23 16:37:57,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,32,Penetrates
1484,2023-02-23 16:38:01,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,25,Hits
1485,2023-02-23 16:38:01,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,34,Smashes
1486,2023-02-23 16:38:01,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,24,Hits
1487,2023-02-23 16:38:01,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,16,Grazes
1488,2023-02-23 16:38:01,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,27,Penetrates
1491,2023-02-23 16:38:05,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,33,Smashes
1492,2023-02-23 16:38:05,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,14,Grazes
1493,2023-02-23 16:38:05,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,22,Hits
1494,2023-02-23 16:38:05,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,20,Hits
1495,2023-02-23 16:38:05,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,27,Penetrates
1498,2023-02-23 16:38:09,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,14,Grazes
1499,2023-02-23 16:38:09,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,17,Glances Off
1500,2023-02-23 16:38:09,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,35,Smashes
1501,2023-02-23 16:38:09,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,32,Penetrates
1502,2023-02-23 16:38:09,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,27,Penetrates
1503,2023-02-23 16:38:13,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,17,Glances Off
1504,2023-02-23 16:38:13,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,30,Penetrates
1505,2023-02-23 16:38:13,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,27,Penetrates
1506,2023-02-23 16:38:13,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,18,Glances Off
1507,2023-02-23 16:38:13,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,37,Smashes
1510,2023-02-23 16:38:17,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,27,Hits
1511,2023-02-23 16:38:17,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,32,Smashes
1512,2023-02-23 16:38:17,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,17,Glances Off
1513,2023-02-23 16:38:17,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,13,Grazes
1514,2023-02-23 16:38:17,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,34,Smashes
1517,2023-02-23 16:38:21,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,29,Penetrates
1518,2023-02-23 16:38:21,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,25,Hits
1519,2023-02-23 16:38:21,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,17,Glances Off
1520,2023-02-23 16:38:21,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,30,Penetrates
1521,2023-02-23 16:38:21,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,20,Hits
1522,2023-02-23 16:38:25,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,31,Penetrates
1523,2023-02-23 16:38:25,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,16,Glances Off
1524,2023-02-23 16:38:25,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,13,Grazes
1525,2023-02-23 16:38:25,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,18,Glances Off
1526,2023-02-23 16:38:25,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,26,Penetrates
1529,2023-02-23 16:38:29,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,31,Penetrates
1530,2023-02-23 16:38:29,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,25,Hits
1531,2023-02-23 16:38:29,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,37,Smashes
1532,2023-02-23 16:38:29,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,23,Hits
1533,2023-02-23 16:38:29,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,16,Grazes
1536,2023-02-23 16:38:33,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,20,Glances Off
1537,2023-02-23 16:38:33,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,26,Penetrates
1538,2023-02-23 16:38:33,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,25,Hits
1539,2023-02-23 16:38:33,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,18,Glances Off
1540,2023-02-23 16:38:33,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,14,Grazes
1542,2023-02-23 16:38:37,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,34,Smashes
1543,2023-02-23 16:38:37,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,27,Penetrates
1544,2023-02-23 16:38:37,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,17,Glances Off
1545,2023-02-23 16:38:37,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,21,Hits
1548,2023-02-23 16:38:41,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,17,Grazes
1549,2023-02-23 16:38:41,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,77,Wrecks
